Thread,Schedule,Time
1,"static",66.935804
2,"static",52.732444
4,"static",34.955274
8,"static",28.349133
12,"static",34.460489
16,"static",39.818307
32,"static",41.895897
64,"static",38.013083
128,"static",33.551772
256,"static",32.353113
1,"dynamic",66.947294
2,"dynamic",38.538043
4,"dynamic",24.597999
8,"dynamic",30.256113
12,"dynamic",30.869241
16,"dynamic",31.021299
32,"dynamic",31.251958
64,"dynamic",33.237656
128,"dynamic",36.416637
256,"dynamic",42.551097
1,"guided",67.104211
2,"guided",52.821481
4,"guided",34.982833
8,"guided",29.214359
12,"guided",34.811947
16,"guided",38.539373
32,"guided",37.399131
64,"guided",35.655320
128,"guided",32.248333
256,"guided",33.437162
