Thread,Schedule,Run,Time
1,static,1,322.499005
1,static,2,389.608770
1,static,3,384.201669
1,static,4,384.414698
1,static,5,323.310944
2,static,1,185.951697
2,static,2,186.145975
2,static,3,186.504372
2,static,4,186.223900
2,static,5,186.062043
4,static,1,170.596942
4,static,2,169.652810
4,static,3,170.478997
4,static,4,170.586849
4,static,5,170.639026
8,static,1,150.933437
8,static,2,150.760237
8,static,3,150.594122
8,static,4,150.747313
8,static,5,150.694549
12,static,1,143.307894
12,static,2,143.162373
12,static,3,143.627796
12,static,4,143.259481
12,static,5,143.185561
16,static,1,131.474071
16,static,2,132.764746
16,static,3,131.866971
16,static,4,132.366311
16,static,5,131.945036
20,static,1,130.597402
20,static,2,130.934602
20,static,3,130.442984
20,static,4,130.579109
20,static,5,130.346316
24,static,1,129.838293
24,static,2,130.227243
24,static,3,129.669191
24,static,4,129.439149
24,static,5,129.470365
28,static,1,128.880163
28,static,2,128.844712
28,static,3,129.874162
28,static,4,129.444635
28,static,5,129.178947
32,static,1,128.722957
32,static,2,129.000412
32,static,3,129.074185
32,static,4,129.563031
32,static,5,129.001676
1,dynamic,1,321.257817
1,dynamic,2,321.118363
1,dynamic,3,320.489949
1,dynamic,4,320.535418
1,dynamic,5,320.191464
2,dynamic,1,184.674267
2,dynamic,2,184.640046
2,dynamic,3,184.487891
2,dynamic,4,194.798058
2,dynamic,5,184.843157
4,dynamic,1,161.617676
4,dynamic,2,162.324944
4,dynamic,3,169.191849
4,dynamic,4,161.522151
4,dynamic,5,161.818148
8,dynamic,1,148.648638
8,dynamic,2,140.528731
8,dynamic,3,139.671400
8,dynamic,4,139.771030
8,dynamic,5,139.615956
12,dynamic,1,136.130557
12,dynamic,2,126.505894
12,dynamic,3,126.148460
12,dynamic,4,126.377699
12,dynamic,5,133.784372
16,dynamic,1,128.521584
16,dynamic,2,126.015835
16,dynamic,3,126.815411
16,dynamic,4,126.809116
16,dynamic,5,135.929431
20,dynamic,1,126.733106
20,dynamic,2,126.605275
20,dynamic,3,126.267087
20,dynamic,4,128.896983
20,dynamic,5,139.065712
24,dynamic,1,127.354083
24,dynamic,2,126.503891
24,dynamic,3,126.628126
24,dynamic,4,126.882621
24,dynamic,5,135.798357
28,dynamic,1,126.387102
28,dynamic,2,126.865390
28,dynamic,3,126.928500
28,dynamic,4,135.312455
28,dynamic,5,130.422961
32,dynamic,1,126.818852
32,dynamic,2,126.582790
32,dynamic,3,127.495507
32,dynamic,4,136.001281
32,dynamic,5,126.773112
1,guided,1,319.113009
1,guided,2,326.584463
1,guided,3,319.075689
1,guided,4,326.698577
1,guided,5,318.613265
2,guided,1,193.238226
2,guided,2,183.941180
2,guided,3,184.993808
2,guided,4,193.645365
2,guided,5,183.779954
4,guided,1,165.599149
4,guided,2,170.360701
4,guided,3,169.604826
4,guided,4,161.750096
4,guided,5,163.394904
8,guided,1,150.893973
8,guided,2,141.738838
8,guided,3,141.024190
8,guided,4,139.876810
8,guided,5,150.528798
12,guided,1,134.515587
12,guided,2,133.108498
12,guided,3,131.535487
12,guided,4,134.012537
12,guided,5,144.138455
16,guided,1,127.743055
16,guided,2,127.891139
16,guided,3,127.372348
16,guided,4,137.079545
16,guided,5,127.770314
20,guided,1,126.472958
20,guided,2,127.047073
20,guided,3,126.840370
20,guided,4,137.479735
20,guided,5,126.868790
24,guided,1,126.809182
24,guided,2,126.505834
24,guided,3,126.843275
24,guided,4,136.150286
24,guided,5,126.123329
28,guided,1,126.688523
28,guided,2,126.137701
28,guided,3,136.613381
28,guided,4,126.874860
28,guided,5,126.471023
32,guided,1,125.896593
32,guided,2,126.182102
32,guided,3,135.748155
32,guided,4,126.107014
32,guided,5,126.185169
