Thread,Schedule,Time
1,"static",3.108258
2,"static",2.503268
4,"static",1.839085
8,"static",1.918897
12,"static",1.595693
16,"static",1.581140
32,"static",1.734071
64,"static",2.276919
128,"static",3.454958
256,"static",5.917119
512,"static",10.974093
1024,"static",21.901918
1,"dynamic,16",3.102185
2,"dynamic,16",1.684535
4,"dynamic,16",1.220306
8,"dynamic,16",0.989794
12,"dynamic,16",0.929225
16,"dynamic,16",1.192507
32,"dynamic,16",1.541568
64,"dynamic,16",2.231771
128,"dynamic,16",3.505601
256,"dynamic,16",6.072375
512,"dynamic,16",12.241411
1024,"dynamic,16",23.962635
1,"guided",3.082186
2,"guided",2.492319
4,"guided",1.638747
8,"guided",1.322299
12,"guided",1.137649
16,"guided",1.363154
32,"guided",1.528025
64,"guided",2.238507
128,"guided",3.571666
256,"guided",6.238239
512,"guided",12.265515
1024,"guided",23.367307
