Thread,Schedule,Time
1,"static",13.210752
2,"static",9.964357
4,"static",5.874611
8,"static",3.514727
12,"static",4.051150
16,"static",3.468052
32,"static",3.220408
64,"static",2.772129
128,"static",2.629820
256,"static",2.776051
512,"static",3.204020
1024,"static",15.807131
1,"dynamic,16",13.208712
2,"dynamic,16",6.634756
4,"dynamic,16",3.347268
8,"dynamic,16",1.980418
12,"dynamic,16",1.692013
16,"dynamic,16",1.554109
32,"dynamic,16",1.616919
64,"dynamic,16",1.752473
128,"dynamic,16",3.232621
256,"dynamic,16",7.133982
512,"dynamic,16",14.845403
1024,"dynamic,16",27.819979
1,"guided,16",13.239007
2,"guided,16",9.967332
4,"guided,16",5.919286
8,"guided,16",4.163226
12,"guided,16",3.764806
16,"guided,16",3.399848
32,"guided,16",1.740565
64,"guided,16",1.699298
128,"guided,16",3.824707
256,"guided,16",7.320100
512,"guided,16",14.781575
1024,"guided,16",28.251755
