Thread,Schedule,Time
1,"static",59.015931
2,"static",47.346628
4,"static",37.525569
8,"static",39.315384
12,"static",37.049965
16,"static",25.862773
32,"static",24.230881
64,"static",23.982404
128,"static",24.998678
256,"static",26.913568
1,"dynamic",58.561042
2,"dynamic",33.026574
4,"dynamic",29.136995
8,"dynamic",26.619463
12,"dynamic",25.113681
16,"dynamic",22.965807
32,"dynamic",23.149434
64,"dynamic",23.874612
128,"dynamic",25.965688
256,"dynamic",31.071811
1,"guided",58.440218
2,"guided",46.948332
4,"guided",37.968237
8,"guided",36.216421
12,"guided",33.854628
16,"guided",24.871073
32,"guided",24.080754
64,"guided",24.047980
128,"guided",25.436051
256,"guided",30.349696
