Thread,Schedule,Time
1,"static",3.429271
2,"static",2.692844
4,"static",2.268136
8,"static",2.021550
12,"static",2.034149
16,"static",1.571659
32,"static",1.738494
64,"static",2.327745
128,"static",3.618340
256,"static",6.112278
512,"static",11.904756
1024,"static",23.323993
1,"dynamic",3.500051
2,"dynamic",1.792087
4,"dynamic",1.271254
8,"dynamic",0.996499
12,"dynamic",0.918065
16,"dynamic",1.233463
32,"dynamic",1.579179
64,"dynamic",2.253238
128,"dynamic",3.562032
256,"dynamic",6.112194
512,"dynamic",11.939546
1024,"dynamic",23.280146
1,"guided",3.147738
2,"guided",2.633761
4,"guided",1.740469
8,"guided",1.397154
12,"guided",1.236495
16,"guided",1.397787
32,"guided",1.565869
64,"guided",2.237773
128,"guided",3.444233
256,"guided",6.169715
512,"guided",12.151680
1024,"guided",23.623724
