Thread,Schedule,Time
1,"static",9.380440
2,"static",7.900529
4,"static",5.977518
8,"static",6.452352
12,"static",8.712399
16,"static",9.189220
32,"static",9.811565
64,"static",8.237073
128,"static",7.943087
256,"static",8.243287
1,"dynamic",9.610037
2,"dynamic",6.250990
4,"dynamic",4.749139
8,"dynamic",6.118024
12,"dynamic",6.168192
16,"dynamic",6.274721
32,"dynamic",7.315399
64,"dynamic",7.599380
128,"dynamic",8.158769
256,"dynamic",10.221695
1,"guided",9.402728
2,"guided",7.977862
4,"guided",5.922331
8,"guided",6.560896
12,"guided",8.556000
16,"guided",8.138962
32,"guided",7.935256
64,"guided",7.907609
128,"guided",8.275204
256,"guided",10.136908
