Thread,Schedule,Time
1,"static",8.014838
2,"static",6.784926
4,"static",8.510397
8,"static",9.094251
12,"static",8.402892
16,"static",4.029393
32,"static",4.356606
64,"static",4.641859
128,"static",6.555280
256,"static",9.733283
1,"dynamic",7.303520
2,"dynamic",4.599559
4,"dynamic",4.536320
8,"dynamic",4.631997
12,"dynamic",4.973079
16,"dynamic",3.927952
32,"dynamic",4.493414
64,"dynamic",5.455827
128,"dynamic",7.731550
256,"dynamic",11.915080
1,"guided",7.188792
2,"guided",6.156836
4,"guided",6.473707
8,"guided",6.344366
12,"guided",5.762483
16,"guided",4.172859
32,"guided",4.355463
64,"guided",5.411377
128,"guided",7.576480
256,"guided",12.101345
